,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,victoria,75,BN,1567459692,78,5.28,115.24,80.01,10.63
88,samarai,99,PG,1567459693,86,-10.62,150.67,70.07,5.68
89,cap malheureux,0,FR,1567459693,87,49.27,-1.21,61.0,8.05
90,tyrma,97,RU,1567459694,96,50.04,132.17,45.95,1.7
91,namatanai,67,PG,1567459124,82,-3.66,152.44,79.79,12.24
92,airai,96,TL,1567459694,67,-8.93,125.41,64.31,4.43
93,touros,40,BR,1567459442,83,-5.2,-35.46,77.0,8.05
94,namibe,97,AO,1567459695,86,-15.19,12.15,64.13,9.04
95,castro,0,CL,1567459695,53,-42.48,-73.76,50.0,6.93
96,goma,76,CD,1567459695,95,-1.67,29.23,56.93,1.97
97,kaitangata,48,NZ,1567459695,73,-46.28,169.85,48.99,5.99
98,pacific grove,1,US,1567459167,64,47.26,-122.25,79.0,11.41
99,hobart,20,AU,1567459696,76,-42.88,147.33,52.0,6.93
100,piracanjuba,0,BR,1567459697,22,-17.3,-49.02,88.43,4.9
101,kahului,40,US,1567459697,58,20.89,-156.47,87.8,25.28
102,danielskuil,0,ZA,1567459697,22,-28.19,23.54,47.03,5.35
103,nhulunbuy,67,AU,1567459698,93,-12.18,136.78,64.4,3.36
104,tasiilaq,56,GL,1567459698,60,65.61,-37.64,42.8,5.82
105,sabang,67,PH,1567459698,80,13.8,121.11,78.01,2.53
106,edgewater,75,US,1567459699,74,28.99,-80.9,88.0,14.99
107,margate,20,AU,1567459699,76,-43.03,147.26,52.0,6.93
108,east london,100,UG,1567459700,90,3.43,31.7,68.63,2.48
109,hithadhoo,100,MV,1567459700,76,-0.6,73.08,82.67,9.04
110,cerrito,40,CO,1567459701,83,6.84,-72.7,73.4,11.41
111,mount gambier,20,GB,1567459701,82,53.66,-1.85,60.8,17.22
112,sioux lookout,1,US,1567459701,82,46.74,-90.88,69.01,5.82
113,kodiak,40,US,1567459122,62,39.95,-94.76,89.01,12.75
114,muramatsu,75,JP,1567459702,94,37.68,139.18,69.8,4.7
115,luba,100,PH,1567459702,94,17.32,120.7,74.75,4.61
116,belmonte,0,PT,1567459703,44,40.36,-7.35,73.0,7.14
117,vila,0,IT,1567459042,73,45.18,8.4,77.0,2.24
118,ponta do sol,79,BR,1567459703,50,-0.53,-65.05,92.21,2.84
119,kalawit,100,PH,1567459703,93,7.91,122.53,74.57,3.89
120,severo-kurilsk,100,RU,1567459704,94,50.68,156.12,49.91,4.85
121,tilichiki,0,RU,1567459704,71,60.47,166.1,47.03,6.26
122,christchurch,0,NZ,1567459704,93,-43.53,172.64,51.01,4.7
123,cabo san lucas,20,ES,1567459705,77,43.18,-5.8,72.0,8.05
124,manuk mangkaw,98,ID,1567459705,93,-7.9,111.5,63.95,2.66
125,mountain home,1,CA,1567459705,68,45.03,-75.49,75.99,3.36
126,porto novo,0,PT,1567459706,73,41.15,-8.61,79.0,2.24
127,pevek,100,RU,1567459706,76,69.7,170.27,37.67,4.99
128,ribeira grande,0,PT,1567459706,64,41.76,-8.56,79.0,4.7
129,mawlaik,100,MM,1567459706,98,23.63,94.42,70.79,1.81
130,chuy,100,UY,1567459707,66,-33.69,-53.46,51.53,8.5
131,lata,0,IN,1567459707,94,30.78,78.62,40.91,2.06
132,houma,0,CN,1567459707,64,35.63,111.36,64.49,6.02
133,bossangoa,100,CF,1567459708,95,6.5,17.45,70.25,1.99
134,dudinka,40,RU,1567459543,100,69.41,86.18,44.6,6.71
135,barrow,0,AR,1567459708,60,-38.31,-60.23,42.71,16.78
136,kenai,90,US,1567459709,55,60.55,-151.26,64.4,11.41
137,rahuri,100,IN,1567459709,85,19.39,74.65,74.57,5.19
138,boshnyakovo,70,RU,1567459709,75,49.65,142.17,59.09,23.26
139,aklavik,20,CA,1567459710,34,68.22,-135.01,53.6,9.17
140,tumaco,52,CO,1567459568,82,1.8,-78.82,77.63,12.97
141,ranong,100,TH,1567459710,82,9.96,98.62,81.23,12.86
142,nanortalik,90,GL,1567459711,91,60.14,-45.24,43.25,6.49
